##BLOCKS= 7          
Note:
PROTOCOL REVISION HISTORY:
v1.0.0: original protocol created (MDC)
v1.0.1: 06/30/05 - Updated, spell checked, & formatted to new style guide. (DW)
v1.0.2: 10/02/05 - Updated Reader Suitability section for v5.0 release. (DW)

READER SUITABILITY:
VMax, VersaMax
SpectraMax, Plus, Plus 384
SpectraMax 190, 340PC, 340PC 384
SpectraMax Gemini, Gemini XS, Gemini EM, Gemini XPS
SpectraMax M2, SpectraMax M5
FlexStation, II, II 384
~End
Note:
Basic Kinetic Protocol

Unfamiliar with SoftMax Pro software?
If you are new to SoftMax Pro software, we strongly recommended spending time familiarizing yourself with the powerful features by completing at least one of the tutorials located in the Tutorials folder.

Use this protocol as the starting point for kinetic assays that have unknowns that will have concentrations interpolated from a standard curve.  Modify the instrument setup for your assay.  You may add more groups of unknowns, controls, or standards to the template to fit your assay.
~End
Plate:	Plate01	1.3	TimeFormat	Kinetic	Fluorescence	TRUE	Raw	FALSE	501	7500	15				1	407	1	12	96	364	Automatic	None			12	Automatic			1	1	None	
Time(hh:mm:ss)	Temperature(¡C)	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	
21:15	22.30	2435.959	2460.387	2521.676	2637.533	2511.028	2386.62	2564.317	2709.992	2678.216	3221.402	3547.496	612.148																																																																																					
21:30	22.30	2450.852	2467.391	2527.073	2635.287	2523.156	2396.62	2578.876	2723.053	2690.477	3265.651	3551.088	629.377																																																																																					
21:45	22.30	2468.322	2471.282	2538.317	2654.542	2523.933	2406.537	2584.568	2717.1	2711.084	3239.74	3547.048	635.39																																																																																					
22:00	22.30	2482.484	2481.445	2549.325	2653.995	2538.022	2429.916	2597.045	2735.371	2719.242	3246.185	3540.059	630.99																																																																																					
22:15	22.30	2487.274	2507.211	2554.278	2658.673	2555.731	2426.021	2605.716	2753.675	2718.998	3240.925	3559.84	630.519																																																																																					
22:30	22.30	2509.171	2506.838	2576.725	2673.869	2564.619	2436.234	2605.983	2766.456	2721.077	3268.108	3550.114	623.833																																																																																					
22:45	22.30	2517.991	2529.384	2567.047	2678.715	2577.385	2459.421	2622.332	2771.891	2732.304	3258.031	3549.313	618.243																																																																																					
23:00	22.30	2524.371	2543.727	2580.696	2700.561	2584.444	2458.14	2619.375	2781.636	2744.356	3273.414	3551.623	629.194																																																																																					
23:15	22.30	2533.885	2548.225	2601.744	2708.291	2601.928	2474.096	2638.247	2794.061	2752.127	3269.643	3541.589	622.523																																																																																					
23:30	22.30	2530.581	2557.965	2617.055	2742.909	2607.558	2485.063	2644.648	2803.754	2764.864	3280.411	3550.982	623.652																																																																																					
23:45	22.30	2548.624	2565.814	2625.718	2738.541	2610.479	2502.059	2656.343	2788.127	2776.639	3289.213	3567.242	639.594																																																																																					
